DOC 0 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_00
were	1015.000000
at	950.000000
is	926.000000

DOC 14 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_14
the	12691.000000
of	6288.000000
and	4884.000000
in	4593.000000
to	4155.000000
a	3615.000000
was	1743.000000
as	1741.000000
is	1569.000000
for	1437.000000
that	1336.000000
s	1324.000000
with	1305.000000
by	1255.000000
on	1126.000000
his	1116.000000
from	879.000000
he	838.000000
or	792.000000
at	780.000000

DOC 15 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_15
the	11958.000000
of	5543.000000
and	5011.000000
in	4478.000000
to	3747.000000
a	3635.000000
was	1639.000000
as	1598.000000
with	1475.000000
s	1439.000000
that	1423.000000
for	1407.000000
is	1368.000000
by	1168.000000
on	1141.000000
aaliyah	1013.926507
massoud	897.272903
from	812.000000
it	766.000000
an	743.000000

DOC 16 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_16
the	12691.000000
of	6233.000000
and	5197.000000
in	4692.000000
to	3537.000000
a	3445.000000
is	1790.000000
as	1640.000000
was	1477.000000
for	1289.000000
with	1271.000000
that	1271.000000
by	1252.000000
on	1100.000000
s	1008.000000
are	932.000000
from	920.000000
it	778.000000
an	733.000000
or	685.000000

DOC 17 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_17
the	12436.000000
of	5719.000000
in	5014.000000
and	4743.000000
a	3461.000000
to	3445.000000
is	1646.000000
as	1606.000000
was	1469.000000
for	1441.000000
with	1378.000000
s	1326.000000
by	1198.000000
on	1151.000000
that	1127.000000
aalen	998.148318
it	835.000000
an	830.000000
from	829.000000
are	816.000000

DOC 18 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_18
the	12380.000000
of	6546.000000
and	5004.000000
in	4807.000000
to	3757.000000
a	3432.000000
was	1709.000000
is	1576.000000
as	1560.000000
by	1321.000000
for	1292.000000
s	1242.000000
that	1232.000000
with	1191.000000
on	1074.000000
roussimoff	812.125600
his	812.000000
aurangzeb	802.599127
from	799.000000
or	779.000000

DOC 19 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_19
the	14121.000000
of	7579.000000
and	5144.000000
in	4810.000000
to	3637.000000
a	3577.000000
is	1777.000000
was	1760.000000
as	1599.000000
by	1501.000000
for	1231.000000
with	1217.000000
that	1118.000000
on	1014.000000
s	1008.000000
from	952.000000
are	880.000000
his	878.000000
it	847.000000
at	799.000000

DOC 20 C:\Users\raffa\OneDrive\Desktop\fullEnglish\AA\wiki_20
the	11237.000000
of	6232.000000
and	4367.000000
in	3940.000000
to	3841.000000
a	3192.000000
is	2076.000000
for	1598.000000
as	1563.000000
that	1455.000000
with	1254.000000
was	1248.000000
by	1159.000000
on	1118.000000
s	1077.000000
are	1027.000000
be	884.000000
it	860.000000
an	814.000000
kyi	776.142293

